=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-03-04T00:21:28.587Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA HAMEHA (BoxerPuncher) vs Marvin "Night Engine" Carter (BoxerPuncher)
Player Level: 5 | Enemy Level: 6
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 63"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 33 thrown, 13 landed (39%) 2 charged 23 body
  cross: 31 thrown, 9 landed (29%) 4 charged 22 body
  leftHook: 1 thrown, 0 landed (0%)
  leftUppercut: 3 thrown, 0 landed (0%)
  rightUppercut: 4 thrown, 2 landed (50%) 1 charged 3 body
ENEMY:
  jab: 17 thrown, 0 landed (0%) 2 charged 1 body
  cross: 10 thrown, 0 landed (0%)
  leftHook: 4 thrown, 2 landed (50%) 2 body
  rightHook: 7 thrown, 2 landed (29%) 1 charged 4 body
  leftUppercut: 8 thrown, 7 landed (88%) 5 body
  rightUppercut: 3 thrown, 1 landed (33%) 3 body

--- MOVEMENT ---
Player distance traveled: 8314px | Avg dist from enemy: 90px
Time in range: 32.9s | Out of range: 28s

--- DEFENSE ---
Player: 31 ducks, 26 full guards, 11 blocks hit, 8 dodges
Enemy: 74 ducks, 94 full guards, 30 blocks hit, 4 dodges

--- KNOCKDOWNS ---
Player scored: 1 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(459,277) |  180 | 342/436
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(459,277) |  180 | 342/436
     413 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(456,278) |  177 | 342/436
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(454,278) |  175 | 342/436
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(452,279) |  173 | 342/436
     440 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(452,279) |  173 | 342/436
     453 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(449,279) |  170 | 342/436
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(447,280) |  168 | 342/436
     480 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(445,280) |  166 | 342/436
     494 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(442,280) |  164 | 342/436
     507 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(440,281) |  161 | 342/436
     507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(440,281) |  161 | 342/436
     520 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(438,281) |  159 | 342/436
     534 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (282,260)/(435,282) |  155 | 342/436
     547 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (284,260)/(433,282) |  150 | 342/436
     560 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (287,260)/(430,282) |  146 | 342/436
     574 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (289,260)/(428,283) |  141 | 342/436
     587 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (291,260)/(426,283) |  137 | 342/436
     600 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (293,260)/(423,283) |  132 | 342/436
     600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (293,260)/(423,283) |  132 | 342/436
     613 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (295,260)/(421,284) |  128 | 342/436
     627 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (297,260)/(419,284) |  124 | 342/436
     640 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (300,260)/(416,284) |  119 | 342/436
     653 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (302,260)/(414,285) |  115 | 342/436
     653 | enemy  | defense    | state=fullGuard prev=none                | (302,260)/(414,285) |  115 | 342/436
     667 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (304,260)/(412,285) |  110 | 342/436
     680 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (306,260)/(409,285) |  106 | 342/436
     693 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (308,260)/(407,285) |  102 | 342/436
