=== HANDZ INPUT RECORDING ===
Date: 2026-08-12T22:10:20.581Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Caleb Reeves (Brawler)
Player Level: 113 | Enemy Level: 115
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 65"

=== ROUND 1 === (85.7s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 43 thrown, 26 landed (60%) 1 charged 39 body
  cross: 121 thrown, 63 landed (52%) 20 charged 114 body
  leftHook: 27 thrown, 16 landed (59%) 22 body
  rightHook: 19 thrown, 11 landed (58%) 14 body
  leftUppercut: 9 thrown, 4 landed (44%) 9 body
  rightUppercut: 16 thrown, 6 landed (38%) 2 charged 16 body
ENEMY:
  jab: 15 thrown, 0 landed (0%) 6 body
  cross: 7 thrown, 1 landed (14%) 2 body
  leftHook: 6 thrown, 2 landed (33%) 4 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 3 thrown, 0 landed (0%) 3 body
  rightUppercut: 2 thrown, 0 landed (0%) 1 body

--- MOVEMENT ---
Player distance traveled: 11993px | Avg dist from enemy: 79px
Time in range: 42.8s | Out of range: 35.4s

--- DEFENSE ---
Player: 36 ducks, 54 full guards, 5 blocks hit, 7 dodges
Enemy: 36 ducks, 50 full guards, 38 blocks hit, 1 dodges

--- KNOCKDOWNS ---
Player scored: 1 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
     373 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(456,242) |  177 | 24469/111441
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(453,242) |  174 | 24469/111441
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(450,242) |  171 | 24469/111441
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(450,242) |  171 | 24469/111441
     414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(448,243) |  169 | 24469/111441
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(445,243) |  166 | 24469/111441
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(442,243) |  163 | 24469/111441
     454 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(440,244) |  160 | 24469/111441
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(437,244) |  158 | 24469/111441
     467 | player | defense    | state=fullGuard prev=none                | (280,260)/(437,244) |  158 | 24469/111441
     480 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(434,244) |  155 | 24469/111441
     494 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(432,244) |  152 | 24469/111441
     507 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(429,245) |  150 | 24469/111441
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(429,245) |  150 | 24469/111441
     520 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(426,245) |  147 | 24469/111441
     534 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(424,245) |  144 | 24469/111441
     547 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(421,245) |  142 | 24469/111441
     547 | player | defense    | state=none prev=fullGuard                | (280,260)/(421,245) |  142 | 24469/111441
     560 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(418,246) |  139 | 24469/111441
     574 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(416,246) |  136 | 24469/111441
     587 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(413,246) |  134 | 24469/111441
     600 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(410,247) |  131 | 24469/111441
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(410,247) |  131 | 24469/111441
     614 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(408,247) |  128 | 24469/111441
     614 | player | defense    | state=fullGuard prev=none                | (280,260)/(408,247) |  128 | 24469/111441
     627 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(405,247) |  126 | 24469/111441
     640 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(402,247) |  123 | 24469/111441
     654 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(400,248) |  120 | 24469/111441
     667 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(397,248) |  118 | 24469/111441
     680 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(394,248) |  115 | 24469/111441
     694 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(392,248) |  112 | 24469/111441
     707 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(389,249) |  110 | 24469/111441
     707 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(389,249) |  110 | 24469/111441
     720 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(386,249) |  107 | 24469/111441
     734 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (283,260)/(384,249) |  101 | 24469/111441
     747 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (286,260)/(381,250) |   96 | 24469/111441
     760 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (289,260)/(378,250) |   90 | 24469/111441
     760 | enemy  | punch      | punch=jab feint=false charged=false body | (292,260)/(378,250) |   87 | 24469/111441
     774 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (292,260)/(376,250) |   84 | 24469/111441
     787 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (295,260)/(373,251) |   79 | 24469/111441
     800 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (298,260)/(370,251) |   73 | 24469/111441
     800 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (298,260)/(370,251) |   73 | 24469/111441
     814 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (301,260)/(368,251) |   67 | 24469/111441
     814 | player | block      | punch=jab damage=1 blocked=true punchTra | (298,260)/(365,252) |   67 | 24469/111441
     827 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (298,260)/(365,252) |   67 | 24469/111441
     840 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (295,260)/(362,252) |   68 | 24469/111441
     854 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (292,260)/(360,252) |   68 | 24469/111441
     867 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (289,260)/(357,252) |   68 | 24469/111441
     880 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (286,260)/(354,253) |   69 | 24469/111441
     894 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (282,260)/(352,253) |   71 | 24469/111441
     907 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (277,260)/(349,253) |   72 | 24469/111441
     907 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (277,260)/(349,253) |   72 | 24469/111441
     920 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (277,260)/(346,254) |   70 | 24469/111441
     934 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (277,260)/(344,254) |   67 | 24469/111441
     947 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(342,254) |   63 | 24469/111441
     947 | enemy  | punch      | punch=cross feint=false charged=false bo | (284,260)/(341,254) |   57 | 24469/111441
     960 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (284,260)/(341,254) |   57 | 24469/111441
     974 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (287,260)/(340,254) |   53 | 24469/111441
     987 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (291,260)/(338,254) |   48 | 24469/111441
    1000 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (294,260)/(337,255) |   44 | 24469/111441
    1000 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (294,260)/(337,255) |   44 | 24469/111441
    1000 | player | defense    | state=duck prev=fullGuard                | (294,260)/(337,255) |   44 | 24469/111441
    1000 | player | dodge      | punch=cross method=duck                  | (297,260)/(336,254) |   40 | 24469/111441
    1014 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (297,260)/(336,254) |   40 | 24469/111441
    1027 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (300,260)/(334,254) |   35 | 24469/111441
    1040 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (303,260)/(333,254) |   31 | 24469/111441
    1054 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (303,261)/(334,253) |   32 | 24469/111441
    1067 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (304,261)/(335,253) |   32 | 24469/111441
    1080 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (305,262)/(335,252) |   32 | 24469/111441
    1080 | player | punch      | punch=cross feint=false charged=false bo | (310,262)/(335,252) |   28 | 24469/111441
    1094 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (308,262)/(338,250) |   32 | 24469/111441
    1094 | enemy  | defense    | state=fullGuard prev=duck                | (308,262)/(338,250) |   32 | 24469/111441
    1107 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (311,263)/(340,249) |   32 | 24469/111441
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (311,263)/(340,249) |   32 | 24469/111441
    1120 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (315,264)/(342,247) |   32 | 24469/111441
    1134 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (318,264)/(344,245) |   32 | 24469/111441
    1134 | enemy  | block      | punch=cross damage=0 blocked=true punchT | (322,265)/(345,244) |   32 | 24469/111441
    1147 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (322,265)/(345,244) |   32 | 24360/111441
    1160 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (323,265)/(345,243) |   31 | 24360/111441
    1174 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (324,266)/(345,242) |   32 | 24360/111441
    1187 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (326,266)/(345,242) |   31 | 24360/111441
    1200 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (327,266)/(344,241) |   30 | 24361/111441
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (327,266)/(344,241) |   30 | 24361/111441
    1214 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (328,267)/(344,240) |   32 | 24361/111441
    1227 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (329,267)/(344,239) |   31 | 24361/111441
    1241 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (331,267)/(343,239) |   31 | 24361/111441
    1254 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (332,267)/(343,239) |   30 | 24361/111441
    1267 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (334,268)/(342,238) |   32 | 24361/111441
    1281 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (335,268)/(342,237) |   32 | 24362/111441
    1294 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (337,268)/(341,237) |   32 | 24362/111441
    1294 | player | punch      | punch=jab feint=false charged=false body | (338,268)/(341,237) |   31 | 24362/111441
    1307 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (338,268)/(340,238) |   30 | 24362/111441
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (338,268)/(340,238) |   30 | 24362/111441
    1321 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (340,270)/(340,238) |   32 | 24362/111441
    1334 | player | pos        | pFacing=-1 eFacing=1 pDuck=1 eDuck=0 pGu | (341,270)/(339,239) |   31 | 24362/111441
    1347 | player | pos        | pFacing=-1 eFacing=1 pDuck=1 eDuck=0 pGu | (343,271)/(338,239) |   32 | 24362/111441
    1347 | enemy  | block      | punch=jab damage=0 blocked=true punchTra | (344,271)/(337,240) |   32 | 24362/111441
    1361 | player | pos        | pFacing=-1 eFacing=1 pDuck=1 eDuck=0 pGu | (344,271)/(337,240) |   32 | 24319/111441
